,cat
41014,8
538696,13
753325,20
418985,20
447719,6
136312,16
726908,20
291339,8
930573,25
142132,6
731901,1
929573,12
626027,1
366321,7
699429,1
123359,13
873183,12
814545,1
461739,15
607237,8
672854,12
174614,1
250777,6
261532,13
124349,20
178109,1
311353,13
82518,13
338725,25
420,19
46622,10
608687,15
657181,11
26562,8
392422,26
915671,20
355606,26
935269,20
743570,16
720542,1
425125,19
951101,1
932032,12
851503,16
817504,20
950944,6
245124,8
613425,26
207150,8
951042,24
476301,19
765712,26
398626,8
71328,20
723037,8
793745,8
778138,16
774869,1
943693,20
528168,20
894337,1
420656,13
200335,16
811923,19
635121,20
450710,1
335284,15
737878,26
20227,15
108195,15
55793,8
422658,12
152493,13
185266,9
761830,13
333283,7
18218,1
780696,7
367015,25
758075,7
2995,8
271547,8
365407,6
191094,8
105830,15
751780,1
484887,16
215150,20
342566,8
286107,4
765586,1
446981,8
318480,8
395815,16
486173,6
182619,16
580700,4
351745,16
183356,20
386464,22
101956,8
307114,13
677494,16
245054,20
724665,16
431073,20
523796,8
594166,7
907373,16
927253,1
840734,8
503524,1
502,1
584800,22
716875,8
48871,15
276121,8
876196,20
454056,8
726561,8
922518,20
19656,1
356514,26
105639,20
501207,8
236579,15
314278,13
142802,8
221703,16
161505,8
822801,8
763497,8
843027,8
258173,20
905707,25
261912,8
684612,6
391507,8
21815,16
849853,16
326634,6
552841,16
312112,6
882995,8
238127,20
59045,16
808776,8
924750,26
630310,8
706657,1
575831,14
774947,15
612082,20
277102,7
374719,20
703058,20
126277,16
897842,26
625744,8
839809,8
622657,15
706245,8
922356,8
485452,6
946990,16
372774,6
827914,20
306942,8
152672,1
895504,8
862496,13
643687,9
414065,1
681895,20
783365,8
93910,13
817550,16
193783,16
859789,26
831150,1
198373,1
907138,13
74468,1
196526,20
221238,20
797077,8
706064,26
254805,20
922950,26
300835,6
667058,19
894,8
478712,8
470339,16
617728,16
432964,26
778054,20
28708,8
51825,26
688306,1
139394,4
432841,8
141658,8
883543,11
924554,26
17859,21
93724,20
697797,20
493639,7
223917,8
251674,19
202241,1
214744,11
74165,8
751101,1
112954,20
606196,20
481877,8
911638,7
790190,6
41827,16
534799,20
402297,6
514390,19
705718,8
427128,26
102334,1
495550,20
881335,20
99478,20
252018,6
267823,13
930474,16
813874,9
255806,16
745686,13
386979,26
722016,13
947302,6
683445,20
852715,1
327157,8
681660,6
552147,4
126312,8
302734,8
825175,19
642603,8
480775,8
348213,20
950020,16
146041,13
52488,8
231966,1
245423,15
910857,13
853793,26
380240,13
504625,26
745150,1
845771,20
728482,26
688629,8
303724,1
526572,20
465868,6
417384,8
100293,1
604884,6
562333,8
751187,7
899585,24
35244,8
846850,15
825906,12
580675,8
331616,19
548277,9
106099,21
152535,20
288665,1
879196,8
19650,20
350119,1
360999,15
950026,16
702173,12
526547,20
599888,1
575707,16
179950,8
263154,12
3504,16
924029,26
809672,1
916143,25
71734,6
73638,8
589768,15
946959,16
81416,13
615973,1
737993,20
717229,21
516844,1
20066,13
188556,13
199887,7
783338,1
644845,8
245551,15
474553,16
617838,20
60382,8
307339,8
879331,20
354623,6
23970,8
368532,20
791575,8
763627,7
830536,8
621912,20
230796,13
499682,8
461680,8
51352,8
17811,19
19521,20
540079,20
707439,15
923939,8
212012,8
95379,20
151363,1
591917,8
530625,1
150735,8
874718,26
715795,6
220466,8
531980,16
422145,1
237095,8
700986,1
443974,1
456290,8
921582,15
217836,20
648433,1
384608,13
261888,7
950865,8
922518,7
174286,11
488735,8
520,7
913876,16
434712,16
920763,26
672678,20
8621,16
406387,16
376822,1
565269,8
538945,19
660431,6
365309,22
755497,1
331125,16
930471,20
297694,16
484631,19
614322,15
804043,7
215711,6
165114,1
651789,8
892500,11
874341,8
873690,20
673357,8
302007,16
333021,16
792278,13
487566,8
182229,19
625650,16
801802,4
66405,16
318510,26
731525,20
945233,19
76768,20
783163,15
439517,8
203587,6
608369,20
645785,8
391386,25
76014,8
742685,8
926010,12
676586,1
505163,8
756747,11
569792,8
196932,25
808140,15
157307,1
844600,1
344139,13
385037,7
7017,26
837328,1
184982,8
683699,8
210343,16
658991,8
403307,25
813546,13
224466,13
111579,4
918906,8
208738,8
337282,20
154294,8
729732,26
441513,8
922863,20
360945,13
386883,6
221861,1
31000,8
661595,8
232720,20
406794,1
440631,12
447486,4
576050,20
270762,8
376282,1
424215,1
15358,26
826518,16
67261,12
462229,8
116581,16
664394,8
367489,17
605717,6
273275,8
416825,15
157429,6
650690,13
774153,20
3745,20
97124,20
330352,12
283080,12
595217,1
484462,8
667538,8
901941,13
507254,26
726294,1
775920,8
660547,26
827,7
754763,22
904535,26
718826,8
529672,1
654390,15
821688,8
922291,20
372090,20
557147,1
627946,15
639442,20
291695,8
837123,25
748659,8
26004,13
940705,8
591545,6
178831,15
569918,17
28728,8
546985,8
375429,6
355118,19
383002,8
849090,10
69981,8
613033,1
941396,8
373383,16
947353,16
436055,1
848684,8
820489,20
143089,1
464940,16
195744,1
132156,1
181489,8
944750,13
223179,11
143673,6
898458,8
671513,13
470148,22
372108,4
115448,8
520022,1
236211,1
92266,8
709751,26
556490,4
313928,1
330055,20
413656,13
67773,1
248621,8
448,12
703820,8
616579,8
231863,26
831429,8
47931,1
472915,8
876308,16
850996,1
472451,16
185804,13
669800,8
551638,10
325100,8
439311,20
375690,4
311421,8
900833,1
853423,8
756496,8
427391,26
669811,6
489895,20
408798,13
287673,13
705643,20
948524,20
517880,26
502340,20
124872,6
889987,8
457636,26
111250,13
49123,16
429036,26
3632,8
568668,15
7096,20
276096,1
274799,13
157080,8
786455,26
365014,13
246705,8
296174,13
408893,11
68433,1
127532,16
730483,1
569334,26
931630,3
407228,1
539972,20
617117,13
260703,7
742642,1
7222,20
436852,1
652360,1
498930,20
415103,16
454736,13
627742,15
557521,9
885548,7
514065,20
354512,20
805782,11
309248,8
342168,7
615884,1
124635,20
640171,16
385673,15
30410,15
902114,24
155761,3
76650,8
552394,8
911698,1
299524,20
79117,26
900678,14
884119,8
84584,8
398117,6
942757,11
201805,26
748554,1
330330,1
237541,2
79999,16
777424,20
195844,15
810122,1
951221,19
780252,1
748915,8
379363,13
773350,8
427649,8
781816,8
781754,8
831196,16
879407,16
24581,8
834823,8
94774,26
722313,15
56637,22
735667,1
20844,20
298557,20
186304,1
53476,8
348607,11
573251,20
52466,20
172845,20
704541,1
497320,26
76299,13
299664,16
932327,6
797684,13
944243,20
42409,8
191291,8
903801,16
137444,22
445818,25
186141,19
703440,20
639306,1
619852,8
758346,8
33047,20
698005,20
717614,17
336113,8
202758,16
616595,1
627978,26
845496,8
648716,20
324216,6
121771,16
453971,10
869443,26
497701,8
627400,6
629797,20
271211,1
844939,16
694853,1
938274,13
892027,15
371123,8
722189,6
134017,6
192279,6
631670,13
250577,26
447655,8
249669,19
595823,1
234987,4
377336,20
920192,8
542133,21
759782,20
748382,8
447680,16
820331,16
903172,20
806024,1
451830,15
160315,25
597552,20
22156,15
304926,25
4540,20
669613,8
424623,26
802409,6
775956,16
357105,1
553992,15
436464,12
458929,16
835669,6
91016,8
441507,7
642800,20
376266,20
156657,20
287343,19
447876,1
109029,7
398051,22
888682,13
30730,13
865604,8
75257,1
768921,22
293958,26
211976,8
308158,8
776461,16
372011,1
102176,8
278861,20
432099,11
195788,7
63263,1
734577,20
332264,26
106640,6
526736,25
694351,21
469380,16
72422,16
289499,25
671502,13
656799,1
877024,8
220603,16
881312,20
328620,4
558933,8
778561,8
343957,20
111398,19
277407,8
842480,8
730734,26
470159,8
623635,8
945873,16
257165,8
476600,8
842404,1
91079,20
893281,20
630963,6
231125,12
380979,15
927865,7
917527,8
434968,1
959947,26
57908,16
477087,16
896321,25
36615,26
813702,20
824765,4
518948,1
546090,20
367404,8
491913,20
482762,12
847361,19
306974,27
323911,20
128985,20
114961,7
202767,25
812172,7
256762,4
1557,16
803478,15
855658,20
503957,16
495779,15
561323,9
475362,16
157536,8
109236,1
285357,4
576618,8
88754,25
248954,25
70024,13
646535,16
678049,8
916573,17
191070,8
18988,26
731571,16
371580,19
50294,8
618080,8
357111,8
597157,8
943321,1
748706,20
43649,3
177326,8
485085,15
521540,13
370873,1
263970,6
273689,26
788566,13
285809,20
4748,16
110020,19
67119,20
734109,13
38532,16
38634,20
916971,1
607180,8
73368,8
885395,16
456353,20
265630,16
330105,15
182693,20
380369,26
702727,20
259691,22
406283,12
948702,16
741146,11
338935,15
950149,16
891143,12
925977,3
663307,16
431977,8
437377,14
655215,26
5531,13
908602,20
704987,1
862793,20
228508,6
214376,14
548195,20
61437,15
532374,16
285786,6
488806,15
659691,8
751076,20
52726,26
497056,1
154376,8
369968,16
57833,8
122821,16
557842,8
790500,7
385330,26
811354,26
482656,7
116770,1
256888,8
944433,20
585282,8
648043,4
339394,8
776057,19
455265,26
826951,8
588037,13
501907,20
935293,13
373691,22
875667,8
588747,8
442472,1
592617,6
471667,20
217599,13
279424,1
205061,6
730099,16
179036,16
583362,8
679314,20
162261,1
503270,8
738829,1
893703,8
613182,17
344894,26
832667,16
513377,8
286603,9
129448,8
498357,25
551799,7
631461,8
711972,20
520408,8
519876,6
652924,8
551268,8
426906,19
926290,13
527465,20
330874,6
619613,8
636775,22
946186,20
945365,20
790735,8
668219,8
926465,20
885491,8
18009,14
596396,8
443199,20
626056,10
658791,8
46727,15
268294,1
290072,8
134326,8
865094,16
105234,16
289478,11
379302,16
415159,19
810591,8
602535,8
859076,10
53556,27
617928,12
951217,19
313306,20
440947,18
237633,15
708706,8
1330,25
232206,7
925560,19
924917,1
856550,7
363658,8
935995,8
927532,26
386372,20
153531,1
444246,13
730916,1
828773,20
136239,8
84038,13
347500,8
531275,1
531022,13
868013,13
753500,11
371186,26
775692,8
215020,7
368771,25
60049,26
559536,8
936435,26
598637,16
155,19
382166,8
716372,20
513105,16
538435,20
170839,8
95961,16
607714,4
465215,1
740904,13
444272,8
184295,25
258973,8
309634,1
748159,20
49972,1
150128,16
480202,20
401687,8
533232,15
35791,8
558645,6
15367,8
777305,20
857010,20
547113,15
31763,15
213301,6
878024,20
764322,6
734171,26
251560,16
123192,8
318783,8
599443,1
344138,26
715748,8
826517,13
76192,19
564696,7
24395,1
239163,8
240960,7
904795,19
181436,26
72157,20
697808,26
146174,8
622612,8
717308,22
863908,16
270353,8
860736,8
930532,1
120967,16
738026,20
601926,1
504134,3
836507,20
714646,16
512036,8
674517,1
319928,8
150014,8
323466,6
750154,3
836883,15
304068,20
1230,8
863089,25
920181,8
764341,7
771117,3
133799,1
542598,20
923696,7
49318,20
268481,8
926845,8
213761,11
212297,25
77831,13
54310,20
301279,8
169067,20
402351,11
148684,19
51598,26
444166,16
127763,15
342435,22
272613,20
786029,1
337351,16
277307,8
514234,7
855088,16
91929,6
143252,8
744497,8
928835,26
339047,20
882207,12
389943,15
134440,15
752132,8
785829,1
864287,6
506828,1
545781,16
367123,19
867551,20
242864,4
65332,8
465615,25
916402,13
515857,20
925424,26
248696,16
867039,13
49482,13
924446,20
198356,19
876007,22
25193,8
715930,1
786181,6
254120,8
305621,13
609080,26
423701,22
519226,20
600070,25
517826,16
898250,6
308409,19
842470,1
641019,1
39593,20
333571,8
2116,20
335371,8
922019,8
282255,19
788438,1
313948,15
528870,1
123481,16
404515,12
672480,8
157301,8
325869,8
421531,16
620876,20
460373,6
256777,8
514121,8
845520,20
371515,6
204423,13
694335,8
25433,20
182361,16
711762,25
734955,1
306937,13
743293,15
736045,1
679718,22
393388,9
611088,1
773341,1
895353,26
419036,1
63831,26
230376,20
344069,8
763020,20
35457,13
491489,20
795127,22
935408,6
729817,6
19039,6
780934,1
553749,8
428396,26
590202,20
71220,26
326292,4
86809,20
641049,8
718195,9
506866,1
299168,13
623429,20
211189,1
740534,20
202532,6
237419,16
444954,8
488378,25
627980,4
400933,18
823897,7
69653,1
610826,25
900898,1
88534,6
433371,16
789137,26
43260,22
620959,8
257848,12
548544,1
388527,8
196224,16
924589,12
191408,8
890281,1
409810,26
713873,8
608469,13
853531,20
688018,1
650113,8
870823,1
191942,26
375362,8
923089,8
343587,13
75918,1
116608,1
670793,8
770575,8
730641,20
328611,21
564426,11
584285,6
73469,13
515868,15
409986,6
311150,13
380212,1
529380,25
856212,20
451877,16
741437,4
213847,15
334690,16
614537,21
176885,1
15386,20
731939,6
364129,7
573624,13
946080,7
609305,20
730581,16
910243,1
609141,20
550923,8
197695,4
147683,8
372786,1
555654,8
380294,20
774151,1
463045,20
220726,1
213168,13
394625,13
295836,11
704599,16
378978,8
238661,1
769976,13
946722,1
221501,13
357877,20
406831,8
720863,6
274356,11
85298,12
819366,1
936785,8
338477,15
247582,1
276404,1
423170,1
795418,14
635899,10
416309,13
510488,1
115912,16
601176,16
412950,13
8813,8
320434,20
32055,1
931815,26
474472,1
504463,25
691071,20
481321,6
344234,26
16756,13
669243,8
229993,16
448071,1
318258,8
147293,1
684592,16
795668,1
479683,8
317269,1
682303,20
128664,21
922886,8
165989,20
481034,13
307223,11
177609,8
342449,8
566133,6
523049,26
741657,13
845320,8
863583,16
21039,1
327491,7
246632,20
161694,20
619678,13
105933,20
97641,1
380440,13
65643,1
322141,8
523631,8
317083,6
119098,8
538431,11
257411,16
651226,26
85425,8
222385,1
142857,16
49594,20
247966,6
78841,8
299730,8
529007,8
718776,12
73726,12
585226,16
91395,25
820564,16
271424,18
751960,13
174491,16
440192,13
592533,20
723469,4
347966,20
758819,13
72102,12
690578,1
240365,20
581823,1
853822,1
756083,15
207384,20
150112,16
924186,8
474750,8
179004,12
111321,20
117873,8
312366,8
105487,22
405888,7
312301,13
1009802,4
610330,8
137319,1
376869,20
388477,20
783609,26
929292,7
874322,20
240470,20
738084,7
869792,8
305848,20
733520,8
701496,8
139065,16
208095,8
574368,1
430667,7
142395,22
743058,16
188781,20
741566,20
265590,15
743944,8
245101,8
736329,3
40493,8
169892,14
466339,8
857246,2
42000,19
797047,20
894999,8
593863,1
811536,26
867502,1
409470,16
235725,16
580185,16
700158,16
239425,13
700659,13
28657,1
315645,1
219359,20
158260,1
591276,4
357998,1
143560,15
182127,8
530759,16
101484,16
174566,20
299746,6
362239,7
366044,8
66810,12
61140,15
723659,2
684634,8
799478,26
757024,8
931387,8
525059,16
234895,15
148514,1
526104,13
348564,6
180193,1
502038,1
269398,20
614144,1
192676,8
50321,19
364879,20
519546,16
417594,16
79187,8
950103,26
32589,8
769778,20
79728,8
257054,19
645426,1
369100,8
389966,15
568676,1
270566,16
108934,16
304458,20
629181,13
509505,1
8586,8
504700,17
1584,26
847334,16
723418,19
830034,20
15390,15
729805,20
698278,1
880831,16
334546,1
88807,20
919830,7
335348,16
699215,15
588057,15
291170,8
811869,16
70668,20
780186,16
51943,12
922557,8
353423,6
161770,20
744890,8
88269,8
642275,13
852084,20
437072,13
903401,13
598686,6
337791,12
91381,26
135511,13
425974,8
12282,15
804947,25
923832,22
536788,8
267772,20
79640,26
405017,4
781473,20
930574,26
902489,20
448045,7
126128,16
318047,20
406070,1
395249,6
749004,20
412362,13
10538,22
156707,26
742852,20
950964,8
482229,8
2551,26
746803,20
92800,20
166868,7
614356,26
158339,8
204975,8
572975,16
960043,26
784772,8
149458,13
598382,8
55109,26
618208,1
524207,20
554631,6
641230,1
554052,16
920910,15
589681,1
871751,8
853537,8
851086,8
273095,9
626252,25
231531,20
384337,13
535877,15
539272,20
863107,16
77815,8
433073,20
224764,16
178535,20
41164,16
799747,25
485144,1
962151,26
703925,8
622228,20
128817,20
840985,8
99164,20
363194,13
566985,11
37878,26
327316,26
136703,8
82197,16
270361,1
581638,26
946589,16
929549,26
64957,8
294740,13
242816,8
240823,8
862844,16
368947,8
1010054,26
849793,8
466314,12
868594,20
341376,8
584428,13
512143,8
927737,7
671706,1
933692,20
622361,8
564022,16
247256,1
302887,16
6307,16
455344,16
636426,8
645639,4
122446,1
937853,16
495420,15
354526,8
545206,15
112799,8
923161,26
41144,6
879956,16
947479,20
795651,16
547238,6
502393,15
838142,26
556481,12
702343,20
712865,16
800089,1
546008,8
240585,13
931768,1
291885,13
411558,20
61785,20
617646,16
42367,1
851947,20
463032,20
366362,16
605516,8
464611,20
811506,8
251477,22
683719,11
369549,8
97355,7
860512,6
259949,1
908624,16
820541,12
50586,8
232934,1
364643,20
335570,8
108221,26
899563,20
991802,26
950799,12
600799,19
631550,1
923968,12
533759,1
928393,26
188457,6
46328,16
47729,13
639161,25
748472,19
491751,1
545209,13
134945,13
703151,1
208889,8
49840,7
738553,8
539250,8
243708,20
192996,8
853911,1
185581,8
40247,8
708491,15
814555,16
582538,1
140670,24
81992,8
193977,27
543963,8
323791,16
556046,20
207041,20
95120,8
115283,6
129772,26
588694,6
307361,21
588032,16
359335,4
910638,16
933974,25
49787,1
500854,1
106558,20
84188,6
452531,1
864501,22
831827,6
525668,20
830645,8
277829,8
440998,20
789634,27
214176,19
913982,26
51081,5
433019,26
117258,8
784534,1
657722,8
360963,8
817112,13
118146,19
665230,16
211600,11
837966,22
274236,20
509707,0
551919,16
865958,20
149963,6
920748,12
492605,1
23144,15
66695,1
223778,16
576008,8
218648,16
923318,13
350729,20
517948,26
688990,13
372175,16
851674,20
129785,3
548818,13
712846,13
165537,6
876756,15
761115,16
137086,21
621947,1
719085,13
323142,15
231137,16
675528,20
194661,26
665237,6
936601,1
874980,13
681496,1
490344,8
407850,6
944783,20
646242,1
269654,8
809963,16
484148,1
352425,16
566602,4
50167,4
73556,20
581876,8
607708,22
393972,1
73697,20
638572,16
556690,7
244145,7
402467,13
863836,1
303276,8
79784,1
285311,16
228180,16
289791,13
486087,16
456570,7
883954,1
353524,8
433482,25
573519,7
307375,8
191905,15
316756,20
213643,1
132628,8
794459,20
127432,20
287896,6
927908,16
591846,20
323541,20
85377,25
928676,7
149474,19
151510,1
559543,1
816212,15
944179,8
134926,4
517359,20
685621,16
65034,11
949071,26
807473,8
408869,25
395372,1
392751,16
225493,1
373807,8
257003,8
476354,8
36005,8
21573,13
924688,12
899596,8
281668,1
756115,15
759528,8
718630,8
245404,16
637133,1
186638,8
334713,16
474611,25
447305,8
808474,20
511822,5
496651,13
678586,26
822781,15
857,12
561325,11
426284,22
20754,8
243209,15
603348,8
452115,8
458084,20
613273,16
934479,8
591573,16
842034,22
117858,6
554295,21
711213,8
1045,4
182133,26
268499,8
470611,16
777666,8
48493,1
843521,1
157047,13
623961,15
939661,16
715280,20
761200,12
530562,6
565668,16
818289,8
607374,20
309228,8
481248,8
910083,25
390912,1
740258,8
927524,4
395683,16
99434,1
306085,26
851320,11
799368,9
587214,8
669079,26
633457,1
70588,15
873623,16
715527,8
362309,25
150867,8
221818,8
281049,1
829741,1
322300,26
807878,6
398350,16
705096,19
557931,1
98724,1
686868,20
1278,26
207507,1
612618,13
498211,11
662515,13
923939,12
89958,20
197198,13
839291,15
123832,9
589691,20
549990,12
518117,25
562414,20
348468,20
303930,16
778429,8
388962,16
489475,8
122691,26
151288,8
851450,26
365157,8
471013,1
784270,1
869935,26
924678,20
821712,1
36942,21
42767,5
733211,17
233269,20
465695,1
12217,13
579754,8
385565,1
645382,15
531097,13
171105,26
274820,8
938765,16
202506,8
329999,26
84099,7
133681,8
1901,19
944430,15
897308,19
328512,8
733643,1
270068,8
621960,6
619859,16
517653,6
217193,8
205697,11
654302,16
750207,8
557782,4
537144,8
624972,1
941305,8
575284,1
167410,8
235178,8
608425,6
651687,16
863887,12
253598,1
129120,8
640439,19
558653,20
93424,8
97995,8
501777,8
654387,7
54468,1
786341,8
90994,7
160948,1
361283,1
47046,20
381038,15
642579,20
452979,25
319909,8
210402,8
944817,9
488892,20
310812,8
883921,19
107006,26
597999,1
664826,26
188693,26
253209,20
886506,8
874770,20
911891,1
444913,10
387504,8
78577,1
120079,15
531910,16
481814,15
931261,1
306261,11
65392,6
151130,6
889054,17
580074,13
422964,7
741575,6
508626,8
921997,20
307732,8
178552,27
430754,1
671768,17
822477,8
88823,6
245733,11
224793,20
360621,20
395303,8
830416,13
851394,8
75890,3
521934,19
820241,16
59368,4
658467,8
258710,8
585219,1
701454,13
540786,8
921584,9
551736,1
110855,8
496923,16
313756,6
143971,1
854947,13
593091,1
451882,6
710782,1
14144,8
525752,25
320639,8
834,20
838668,1
493647,21
699382,22
894365,20
910443,20
121768,8
623443,16
247351,6
601113,1
322913,14
124056,1
192920,22
26166,22
24757,16
154758,15
871444,20
563127,20
566630,7
447966,11
412277,16
936101,4
725129,20
282768,20
146089,12
894807,15
951436,20
278605,16
33223,8
508062,8
263310,13
22461,7
287359,6
558833,20
166293,8
689740,8
629910,8
378620,1
608736,15
704421,6
40451,13
511364,7
143092,8
775300,21
759150,1
759002,1
716216,16
292764,20
682655,16
925574,26
19783,16
871968,25
284842,6
488937,8
679151,26
349667,16
39962,13
927230,16
864800,6
408507,20
334108,8
496654,16
21476,1
702640,16
196269,8
944061,8
505876,19
348767,20
215010,26
427670,8
108242,13
366198,1
945393,8
816449,13
226703,20
798397,22
310482,25
597356,15
397574,8
102152,20
308433,16
184086,20
236568,4
315535,8
828123,16
361967,1
935056,16
67268,8
482598,20
119377,26
914733,19
416455,1
249894,8
605418,16
494127,17
120063,20
345185,16
341038,22
438863,1
485635,6
449271,16
17986,13
242819,8
811500,8
651028,20
192010,6
540857,8
259818,20
744408,8
466600,16
229372,1
633529,8
282133,11
410291,7
162277,20
464693,4
673184,8
237335,8
235392,8
432184,1
28753,6
899070,1
928041,20
714804,9
384065,8
439911,8
626147,16
134646,8
251767,8
247270,22
431097,20
884974,8
742056,26
293686,13
376278,20
34002,1
355871,1
943772,3
632923,19
191747,24
47798,8
36818,8
231025,26
7848,7
578288,1
442152,1
154991,8
216477,17
350030,1
35350,20
919810,6
259309,1
399456,8
306622,9
864365,4
820889,15
532813,8
9665,19
848257,7
276103,1
2333,25
696903,6
593367,20
125917,20
938605,20
586606,6
153859,7
129319,20
675417,8
335201,20
861079,20
597074,8
834251,16
161099,19
732638,26
258153,8
536880,20
484688,13
290111,20
720509,7
275239,1
813590,16
159004,16
716736,16
788674,22
533795,26
467830,15
