main_photo,name,type,category_l2,category_l4,is_markup,target,stratify_column,__index_level_0__,
https://cdn1.ozone.ru/s3/multimedia-1-u/7101052770.jpg,"Худи на молнии ""Legend"" розовое",Худи,Одежда,"Толстовка, худи, свитшот",false,1,Одежда_False_1,313010,
https://cdn1.ozone.ru/s3/multimedia-1-x/7042284969.jpg,"Фильтр масляный для Фиат Крома 2005-2011, Fiat Croma фильтр масляный STELLOX 20-50715-SX, oem 55577033",Фильтр.масляный,Автотовары,Автофильтры,false,1,Автотовары_False_1,630946,
https://cdn1.ozone.ru/s3/multimedia-1-w/7098089540.jpg,Подсветка для телевизора Hyundai H-LED40F451BS2,Блок.питания.для.телевизора,Электроника,Запчасти для телевизоров,true,0,Электроника_True_0,875486,
https://cdn1.ozone.ru/multimedia/1023284482.jpg,"К.В. Глюк. ""Орфей и Эвридика"" (опера в 3-х действиях) (2 LP)",Пластинка.виниловая.винтажная,,,false,1,nan_False_1,2613209,
https://cdn1.ozone.ru/s3/multimedia-1-u/7230591570.jpg,"Картина на холсте ""Пионы в стиле ретро, оформленные в бордовой и золотой палитре, создающие теплоту и уют, как будто перенесенные из старой сказки"" на подрамнике 175х75 см. для интерьера",Картина,Дом и сад,Картина,false,1,Дом и сад_False_1,621109,
https://cdn1.ozone.ru/s3/multimedia-s/6582907504.jpg,Светильник декоративный,Светильник.для.декоративных.птиц,Строительство и ремонт,Светильник для дома,true,0,Строительство и ремонт_True_0,222822,
https://cdn1.ozone.ru/s3/multimedia-c/6722571108.jpg,"Веник узбекский из сорго 5ти-прошивной 4х-лучевой, ручная работа, 90-95 см",Курс.по.разработке.приложений,Дом и сад,Веник,true,0,Дом и сад_True_0,654609,
https://cdn1.ozone.ru/s3/multimedia-1-g/6907954804.jpg,"Багажник Атлант в распор для NISSAN Terrano II (R20) 1993-2006, на классические рейлинги с просветом, крыловидная дуга (790:790)",Комплект.багажника,Автотовары,Багажный бокс (автобокс),true,1,Автотовары_True_1,758695,
https://cdn1.ozone.ru/s3/multimedia-1-s/7063322932.jpg,"Колодки тормозные дисковые передние для Фольксваген Поло 1999-2001, Volkswagen Polo колодки тормозные дисковые передние HI-Q SP1857A, oem 6N0698151C",Колодки.тормозные,Автотовары,Тормозные колодки дисковые и барабанные,false,1,Автотовары_False_1,773298,
https://cdn1.ozone.ru/s3/multimedia-1-l/6955750317.jpg,"Заклепочник одноручный КОБАЛЬТ 260 мм, заклепки 2,4-3,2-4,0-4,8 мм, блистер",Заклепочник,,,false,1,nan_False_1,4456130,
https://cdn1.ozone.ru/s3/multimedia-1-9/7206974685.jpg,Букет из 25 белых пионовидных роз White O'Hara 40 см в кремовой пленке,Букет,Дом и сад,"Цветы живые срезанные, букет",false,1,Дом и сад_False_1,62507,
https://cdn1.ozone.ru/s3/multimedia-1-2/7090468922.jpg,"Защита ведущей звезды на двигатель ZS172FMM-3A, 174MN NB300 (без баланс. вала) оранжевая",Защита.для.мототехники,,,false,1,nan_False_1,3251350,
https://cdn1.ozone.ru/s3/multimedia-1-u/7135357998.jpg,Буква К на погоны Кадетский корпус Курсант цвет зеленый 2 шт 752203,Декор.для.одежды,Галантерея и аксессуары,Погоны,false,1,Галантерея и аксессуары_False_1,622196,
https://cdn1.ozone.ru/s3/multimedia-1-v/6950125615.jpg,Шкаф распашной Лорена Пакс-1 с антресолью Графит,Шкаф.распашной,Мебель,Шкаф распашной,false,1,Мебель_False_1,693880,
https://cdn1.ozone.ru/s3/multimedia-r/6472676427.jpg,Природный кусковой мел Новый Оскол 1кг,Щетка.для.волос,,,false,0,nan_False_0,4417885,
https://cdn1.ozone.ru/s3/multimedia-1-f/7138175919.jpg,"Панно настенное декоративное ""Forest surprise"".",Панно,Дом и сад,Панно,true,1,Дом и сад_True_1,99345,
https://cdn1.ozone.ru/s3/multimedia-5/6828149309.jpg,Осенне-зимняя толстовка с капюшоном для мужчин и женщин Barbie,Свитшот,Одежда,"Толстовка, худи, свитшот",false,1,Одежда_False_1,61584,
https://cdn1.ozone.ru/s3/multimedia-1-r/7253699535.jpg,Горжетка,Горжетка,,,false,1,nan_False_1,4438671,
https://cdn1.ozone.ru/s3/multimedia-7/6696342151.jpg,WESSVANЛюстра подвесная,"Сертификат.на.автоспорт,.прокат.машин",Строительство и ремонт,Светильник для дома,true,1,Строительство и ремонт_True_1,662427,
https://cdn1.ozone.ru/s3/multimedia-7/6616853899.jpg,"Коврик придверный противоскользящий EVA (ЭВА) универсальный 48х33 сантиметра. Коврик в прихожую, коврик в коридор, коврик в гостиную. Ковер в дом. Аккуратный, красивый кант под интерьер. Липучки для фиксации. Ромб Черный с черной окантовкой",Коврик.придверный,Дом и сад,Ковер,false,1,Дом и сад_False_1,592566,
https://cdn1.ozone.ru/s3/multimedia-1-0/7135735284.jpg,"многоразовые подгузники,набор 2 шт",Насос.для.спецтехники,,,false,0,nan_False_0,5657111,
https://cdn1.ozone.ru/s3/multimedia-6/6835344486.jpg,Машинка для вырубки и тиснения А4 профессиональная,Чехол.для.скейтборда,,,false,0,nan_False_0,7083793,
https://cdn1.ozone.ru/s3/multimedia-1-a/7138919278.jpg,Гидравлический пресс напольный 20 тонн,Чердачная.лестница,,,false,0,nan_False_0,4723317,
https://cdn1.ozone.ru/s3/multimedia-1-j/6984827803.jpg,Обучающие палочки,Палочки.для.еды,Дом и сад,Палочки для еды,false,0,Дом и сад_False_0,267653,
https://cdn1.ozone.ru/s3/multimedia-1-h/7204585013.jpg,"Привод спидометра комплект ВАЗ 2108-2170, z12 (12 зубьев)",Наклейка.на.переноску.для.животных,,,false,0,nan_False_0,4859115,
https://cdn1.ozone.ru/s3/multimedia-6/6583510806.jpg,"Настенное деревянное панно ""Рысь в Полнолунии""]",Панно.для.бани,Дом и сад,Панно,true,1,Дом и сад_True_1,473996,
https://cdn1.ozone.ru/s3/multimedia-1-f/7191498723.jpg,"Nexxt Professional Блеск для волос, 100 мл",Чехол.для.елки,,,false,0,nan_False_0,4842383,
https://cdn1.ozone.ru/s3/multimedia-1-7/7311251923.jpg,Таймер 11 шт,Будильник,,,false,0,nan_False_0,7822720,
https://cdn1.ozone.ru/s3/multimedia-i/6749714322.jpg,Ледобур стальной Petzl LASER 17,Ледобур.для.альпинизма,,,false,1,nan_False_1,29786,
https://cdn1.ozone.ru/s3/multimedia-g/6132404236.jpg,"2 шт., автомобильный партнер, боковой индикатор рулевого управления, повторитель света Peugeot 108 107 407 206 6325G3 для Citreon C1 C2 C3 Picasso",Автофильтр.радиопомех,Автотовары,Автомобильные лампы,true,0,Автотовары_True_0,763188,
https://cdn1.ozone.ru/multimedia/1022348281.jpg,"Tefal Сковорода Emotion, 24 см",Комплект.в.кроватку,,,false,0,nan_False_0,1820946,
https://cdn1.ozone.ru/s3/multimedia-0/6686613396.jpg,"Рассада Хаконехлоа большая Mulled Wine, С2 (2 литра) ЗКС",Рассада,Дом и сад,"Саженец, рассада",false,1,Дом и сад_False_1,147388,
https://cdn1.ozone.ru/s3/multimedia-1-j/6924177199.jpg,Кукольный театр,Кукольный.театр,Детские товары,Кукольный театр,false,1,Детские товары_False_1,428747,
https://cdn1.ozone.ru/s3/multimedia-r/6239893767.jpg,Пакет антистатический с зип-локом 17х23см,Антистатический.пакет,,,false,1,nan_False_1,3665164,
https://cdn1.ozone.ru/s3/multimedia-o/6793955592.jpg,Подходит для переходного кольца Canon micro single EF EOSM,Декоративное.кольцо.для.объектива,Электроника,Переходное кольцо/адаптер,true,1,Электроника_True_1,693740,
https://cdn1.ozone.ru/s3/multimedia-1-a/7213576906.jpg,"Модульная картина на холсте ""Туман в стиле плоский, всплески волн на камнях с туманом, драма природы"" триптих на подрамнике 225х120 см. для интерьера",Картина,Дом и сад,Картина,false,1,Дом и сад_False_1,256816,
https://cdn1.ozone.ru/s3/multimedia-1-v/7385370871.jpg,Щетки стеклоочистителя для Geely MK / 2008 2009 2010 2011 2012 2013 / Комплект каркасных дворников 600 400 мм МК,Набор.для.ТО,,,false,0,nan_False_0,7603946,
https://cdn1.ozone.ru/s3/multimedia-v/6686613895.jpg,"Саженец Рододендрон гибридный Pohjola s Daughter, С10 (10 литров) ЗКС",Саженец,Дом и сад,"Саженец, рассада",false,1,Дом и сад_False_1,116217,
https://cdn1.ozone.ru/s3/multimedia-1-r/7079506839.jpg,"Чехол на чемодан S, ручная кладь 55х40х25 Roadlike",Чехол.для.чемодана,,,false,1,nan_False_1,1895460,
https://cdn1.ozone.ru/s3/multimedia-u/6791291058.jpg,"Фильтр масляный для Форд Куга 2 2012-2016, Ford Kuga 2 фильтр масляный MANN-FILTER W 7043, oem 2193141",Фильтр.масляный,Автотовары,Автофильтры,false,1,Автотовары_False_1,343409,
https://cdn1.ozone.ru/s3/multimedia-l/6383715849.jpg,"Жесткие дорожные сумки из ЭВА, портативный чехол для Xiaomi Mi Power Bank 3, 20000 мАч, чехол, портативная батарея, сумка для телефона PowerBank",Триммер.для.бровей,,,false,0,nan_False_0,53884,
https://cdn1.ozone.ru/s3/multimedia-1-8/7040483828.jpg,Шорты NBA SHORTS,Складная.система,Одежда,Шорты,true,0,Одежда_True_0,467085,
https://cdn1.ozone.ru/s3/multimedia-v/6616547563.jpg,Фиксатор корректор большого пальца ноги Orliman вальгусная шина бурсопротектор для стопы Испания HV-33 Правый S/1,Защита.на.спинку.сиденья,,,false,0,nan_False_0,4717857,
https://cdn1.ozone.ru/s3/multimedia-9/6681592197.jpg,Чехол втулки подвески колеса переднего моста трактора Т-40,Брадсы,,,false,0,nan_False_0,6967963,
https://cdn1.ozone.ru/multimedia/1022634639.jpg,"Полезный Сок Яблочный с мякотью, 1,8 л",Загуститель.для.волос,,,false,0,nan_False_0,3017484,
https://cdn1.ozone.ru/s3/multimedia-1-x/7179777645.jpg,24шт Красочные Подарочные Бумажные Пакеты с 24шт Наклей,Ящик.инструментальный.для.спецтехники,Автотовары,Автоаксессуар,true,0,Автотовары_True_0,919255,
https://cdn1.ozone.ru/multimedia/1028266457.jpg,"Кофейный напиток Lotte Let's Be Американо, 30 шт по 240 мл",Вспышка,,,false,0,nan_False_0,1199436,
https://cdn1.ozone.ru/s3/multimedia-1-q/7238061314.jpg,Рубашка ПОЛО,Поло,Одежда,Футболка,false,1,Одежда_False_1,18132,
https://cdn1.ozone.ru/s3/multimedia-1-2/7235491286.jpg,"Джинсы Calvin Klein Jeans REGULAR TAPER, синий, 46",Джинсы,Одежда,Джинсы,false,1,Одежда_False_1,48266,
https://cdn1.ozone.ru/multimedia/1010844984.jpg,"ST Luce Потолочный светильник, E27, 360 Вт",Бальзам.для.губ,,,false,0,nan_False_0,2040838,
https://cdn1.ozone.ru/s3/multimedia-1-s/7196400856.jpg,"Фотообои моющиеся ударопрочные ""Пляж на берегу озера, зелёные деревья и скалы"" 300x300 см. флизелиновые на стену",Зажигательный.аппарат,Строительство и ремонт,Фотообои,true,0,Строительство и ремонт_True_0,88675,
https://cdn1.ozone.ru/s3/multimedia-s/6844757788.jpg,Ролики сдвижной двери Toyota Hiace Kzh106 Правые,Семена.медоносных.трав,,,false,0,nan_False_0,35269,
https://cdn1.ozone.ru/multimedia/1021456807.jpg,Rolser Сумка-тележка,Подставка.под.зонт.винтажная,,,false,0,nan_False_0,1334289,
https://cdn1.ozone.ru/s3/multimedia-1-u/7181951286.jpg,"Универсальный Автомобильный Держатель для Смартфонов: На Приборную Панель для iPhone, Xiaomi, Samsung, Honor",Кукла.авторская,Антиквариат и коллекционирование,Кукла коллекционная,true,0,Антиквариат и коллекционирование_True_0,164179,
,"SR260, Диод Шоттки 2А 60В DO-15",Проживание.в.гостинице.2*,Электроника,Электронные компоненты,true,0,Электроника_True_0,541979,
https://cdn1.ozone.ru/multimedia/1018508469.jpg,Brabantia Чехол для гладильной доски,Чехол.для.гладильной.доски,,,false,1,nan_False_1,7388802,
https://cdn1.ozone.ru/s3/multimedia-1-o/7303393140.jpg,Средство для ухода за экранами 125ml,Фильтр.промышленный,,,false,0,nan_False_0,5044286,
https://cdn1.ozone.ru/s3/multimedia-1-1/7158702853.jpg,Dupont 005501 Запонки,Запонки,Галантерея и аксессуары,"Запонки, зажим для галстука",false,1,Галантерея и аксессуары_False_1,4928,
https://cdn1.ozone.ru/s3/multimedia-i/6362393910.jpg,"Корзина для бумаг и мусора Calligrata, 12 литров, пластик, сетчатая, чёрная",Корзина.для.белья,Дом и сад,Корзина для бумаг,true,0,Дом и сад_True_0,822589,
https://cdn1.ozone.ru/s3/multimedia-1-k/7235495120.jpg,"Платье Desigual CHAMPIONS, черный, 44;46",Платье,Одежда,Платье,false,1,Одежда_False_1,491211,
https://cdn1.ozone.ru/s3/multimedia-1-m/7037968414.jpg,"Коробка самосборная, 200*125*40мм (20*12.5*4см) Т21Е, 50 шт",Приманочная.станция.для.грызунов,,,false,0,nan_False_0,7181899,
https://cdn1.ozone.ru/s3/multimedia-t/6378812117.jpg,"Двусторонний коврик для кошек и собак PET LEX размер XS 50x35 см, серый микровелюр",Коврик.для.животных,Товары для животных,Лежак для животных,false,1,Товары для животных_False_1,78058,
https://cdn1.ozone.ru/s3/multimedia-1-4/7170932668.jpg,Кроссовки мужские зимние с мехом,Кроссовки,Обувь,Кроссовки,false,1,Обувь_False_1,668744,
https://cdn1.ozone.ru/s3/multimedia-3/6515077707.jpg,Амортизатор кабины T0003-6001,Свечи.чайные,,,false,0,nan_False_0,5257898,
https://cdn1.ozone.ru/s3/multimedia-1-e/7110255722.jpg,Подсветка для телевизора Samsung UE49RU7100K,Корпус.для.светильника,Электроника,Запчасти для телевизоров,true,0,Электроника_True_0,833290,
https://cdn1.ozone.ru/s3/multimedia-1-g/7129457008.jpg,Подвесная люстра Lucia Tucci Natura 066.6 LED,Люстра.подвесная,Строительство и ремонт,Светильник для дома,false,1,Строительство и ремонт_False_1,624319,
https://cdn1.ozone.ru/s3/multimedia-o/6805447692.jpg,"Накидки-квадраты для Ситроен дс3 (2009 - 2014) хэтчбек 3 двери _ Citroen DS3 на передние сиденья меховые, Короткий ворс, Черный",Накидка.на.сиденье,Автотовары,Накидка на сиденье,true,1,Автотовары_True_1,484835,
https://cdn1.ozone.ru/s3/multimedia-1-f/7160272611.jpg,Осушитель воздуха влаги от плесени и грибка,Бытовой.сушитель.белый.H10,Комплект сантехники,Бытовая техника,Охладитель воздуха,true,0,Бытовая техника_True_0,101418
https://cdn1.ozone.ru/s3/multimedia-g/6887553892.jpg,Crazy Getup CYSM Комплект постельного белья шоколадное в стиле ретро-динь с грибами,Комплект.постельного.белья,Дом и сад,Комплект постельного белья,false,1,Дом и сад_False_1,943039,
https://cdn1.ozone.ru/s3/multimedia-1-0/7144462692.jpg,"Картина на холсте ""Осень путешествия с рюкзаком по живописным тропам"" на подрамнике 80х75 см. для интерьера",Картина,Дом и сад,Картина,false,1,Дом и сад_False_1,863689,
https://cdn1.ozone.ru/s3/multimedia-1-i/7209955782.jpg,Hilberg фреза алмазная по плитке М14 2-38мм Hilberg Super Hard для УШМ,Фреза.для.УШМ,,,false,1,nan_False_1,3510495,
https://cdn1.ozone.ru/s3/multimedia-1-h/6934381973.jpg,Клапан электромагнитный СОАТЭ для а/м ВАЗ-2108-09 Ст. Оскол,Запчасть.для.системы.кормления,,,false,0,nan_False_0,6206533,
https://cdn1.ozone.ru/s3/multimedia-1-e/7114722998.jpg,"Audi A3 Sedan 2020-2024 greatroad TPE Коврики в салон автомобиля,3 шт.",Коврик.в.багажник,Автотовары,Коврики в салон автомобиля,true,1,Автотовары_True_1,63982,
https://cdn1.ozone.ru/s3/multimedia-1-i/7153028082.jpg,"HP CN047AE Картридж №951XL, Magenta",Расходник.для.печати,Электроника,Картридж,false,1,Электроника_False_1,263697,
https://cdn1.ozone.ru/s3/multimedia-1-8/7200474524.jpg,"Модульная картина на холсте ""Цветы в стиле фэнтези, изображающие цветочные часы, рассказывающие о времени в сказочном лесу"" триптих на подрамнике 225х120 см. для интерьера",Картина,Дом и сад,Картина,false,1,Дом и сад_False_1,345847,
https://cdn1.ozone.ru/s3/multimedia-1-c/7229766648.jpg,"Большой постер ""Велосипед на мосту с зелеными лианами, окруженными спокойной рекой"" для интерьера, 180х90 см.",Постер,Дом и сад,Постер,false,1,Дом и сад_False_1,41222,
https://cdn1.ozone.ru/s3/multimedia-1-1/7191021061.jpg,"Фотообои моющиеся ударопрочные ""Одинокий маяк на скале под звездами"" 300x300 см. флизелиновые на стену",Фотошторы,Строительство и ремонт,Фотообои,true,1,Строительство и ремонт_True_1,362692,
https://cdn1.ozone.ru/s3/multimedia-1-m/7042200034.jpg,"Фильтр масляный для Сузуки Игнис 2003-2008, Suzuki Ignis фильтр масляный MANN-FILTER W 610/9, oem 1651061A31",Фильтр.масляный,Автотовары,Автофильтры,false,1,Автотовары_False_1,918420,
https://cdn1.ozone.ru/s3/multimedia-1-w/7133455220.jpg,5582520 Asics Gel-Kahana 8 1011B895-200 Кроссовки,Кроссовки,Обувь,Кроссовки,false,1,Обувь_False_1,728172,
